time,x_sp,xpos_
0.327334,0.946903,-1.43727
0.32839,0.946563,-1.43727
0.329421,0.94623,-1.43727
0.330487,0.945885,-1.43727
0.331344,0.945606,-1.43727
0.332432,0.945252,-1.43727
0.333333,0.944957,-1.43727
0.334374,0.944616,-1.43727
0.33533,0.944302,-1.43727
0.336368,0.94396,-1.43727
0.337331,0.943641,-1.43569
0.338372,0.943296,-1.43569
0.339329,0.942978,-1.43569
0.340341,0.942641,-1.43569
0.341331,0.94231,-1.43569
0.34234,0.941972,-1.43569
0.343354,0.941631,-1.43569
0.344367,0.941289,-1.43569
0.345338,0.940961,-1.43456
0.346486,0.940572,-1.43456
0.347357,0.940276,-1.43456
0.348364,0.939932,-1.43456
0.349366,0.93959,-1.43456
0.350338,0.939257,-1.43456
0.351337,0.938914,-1.43456
0.352347,0.938565,-1.43456
0.353335,0.938224,-1.43456
0.354331,0.937879,-1.43456
0.355349,0.937525,-1.43456
0.35634,0.93718,-1.43456
0.357356,0.936825,-1.43249
0.358346,0.936478,-1.43249
0.359329,0.936133,-1.43249
0.36035,0.935773,-1.43249
0.361392,0.935406,-1.43249
0.362517,0.935007,-1.43249
0.363437,0.934681,-1.43249
0.36441,0.934334,-1.43249
0.365364,0.933994,-1.43102
0.366377,0.933632,-1.43102
0.367675,0.933165,-1.43102
0.368406,0.932903,-1.43102
0.369345,0.932564,-1.43102
0.370392,0.932186,-1.43102
0.371352,0.931838,-1.43102
0.372346,0.931477,-1.43102
0.373334,0.931116,-1.43102
0.374335,0.930751,-1.43102
0.375331,0.930386,-1.43102
0.376344,0.930015,-1.43102
0.377342,0.929647,-1.42852
0.37848,0.929227,-1.42852
0.379483,0.928856,-1.42852
0.380389,0.92852,-1.42852
0.381395,0.928146,-1.42852
0.382337,0.927795,-1.42852
0.383334,0.927423,-1.42852
0.384447,0.927006,-1.42852
0.385332,0.926674,-1.42678
0.386348,0.926291,-1.42678
0.387336,0.925919,-1.42678
0.388345,0.925537,-1.42678
0.389343,0.925159,-1.42678
0.39046,0.924734,-1.42678
0.391527,0.924328,-1.42678
0.392362,0.924009,-1.42678
0.393338,0.923635,-1.42678
0.394332,0.923253,-1.42678
0.395353,0.922861,-1.42678
0.396483,0.922425,-1.42678
0.397353,0.922089,-1.42375
0.39835,0.921702,-1.42375
0.399336,0.921319,-1.42375
0.400332,0.920932,-1.42375
0.401335,0.92054,-1.42375
0.402332,0.92015,-1.42375
0.403346,0.919753,-1.42375
0.404385,0.919345,-1.42375
0.405343,0.918967,-1.42164
0.406347,0.918571,-1.42164
0.407449,0.918135,-1.42164
0.408405,0.917755,-1.42164
0.409368,0.917373,-1.42164
0.410335,0.916987,-1.42164
0.41133,0.91659,-1.42164
0.412414,0.916156,-1.42164
0.413349,0.915781,-1.42164
0.414375,0.915368,-1.42164
0.41534,0.914979,-1.42164
0.416363,0.914566,-1.42164
0.41737,0.914158,-1.41807
0.418334,0.913767,-1.41807
0.419335,0.91336,-1.41807
0.420333,0.912953,-1.41807
0.421331,0.912545,-1.41807
0.422331,0.912136,-1.41807
0.423334,0.911724,-1.41807
0.42448,0.911253,-1.41807
0.425343,0.910897,-1.41562
0.426437,0.910445,-1.41562
0.42736,0.910063,-1.41562
0.428525,0.909579,-1.41562
0.429434,0.909201,-1.41562
0.430412,0.908794,-1.41562
0.4314,0.908381,-1.41562
0.432353,0.907982,-1.41562
0.433334,0.907571,-1.41562
0.434336,0.90715,-1.41562
0.435335,0.906729,-1.41562
0.43634,0.906304,-1.41562
0.437331,0.905885,-1.41174
0.438331,0.905461,-1.41174
0.43933,0.905037,-1.41174
0.440343,0.904606,-1.41174
0.441415,0.904148,-1.41174
0.442342,0.903752,-1.41174
0.44335,0.90332,-1.41174
0.444356,0.902888,-1.41174
0.4454,0.902438,-1.40914
0.446652,0.901898,-1.40914
0.447347,0.901598,-1.40914
0.44844,0.901125,-1.40914
0.449377,0.900718,-1.40914
0.450371,0.900286,-1.40914
0.451544,0.899774,-1.40914
0.452349,0.899423,-1.40914
0.453344,0.898988,-1.40914
0.454319,0.89856,-1.40914
0.455429,0.898072,-1.40914
0.456523,0.897591,-1.40914
0.457436,0.897188,-1.40474
0.458342,0.896788,-1.40474
0.459422,0.896309,-1.40474
0.460377,0.895885,-1.40474
0.461336,0.895459,-1.40474
0.462606,0.894893,-1.40474
0.46333,0.894569,-1.40474
0.464402,0.89409,-1.40474
0.465353,0.893663,-1.40179
0.466495,0.89315,-1.40179
0.467354,0.892763,-1.40179
0.468358,0.892311,-1.40179
0.469343,0.891866,-1.40179
0.470339,0.891415,-1.40179
0.471444,0.890913,-1.40179
0.472383,0.890487,-1.40179
0.473351,0.890046,-1.40179
0.474362,0.889584,-1.40179
0.475331,0.889141,-1.40179
0.476378,0.888661,-1.40179
0.477377,0.888203,-1.39689
0.478362,0.88775,-1.39689
0.47937,0.887286,-1.39689
0.480351,0.886833,-1.39689
0.481331,0.886379,-1.39689
0.482328,0.885917,-1.39689
0.483346,0.885445,-1.39689
0.484678,0.884825,-1.39689
0.485395,0.884491,-1.39689
0.486336,0.884051,-1.39392
0.48733,0.883586,-1.39392
0.488452,0.883061,-1.39392
0.48941,0.88261,-1.39392
0.490379,0.882155,-1.39392
0.49151,0.881621,-1.39392
0.492473,0.881166,-1.39392
0.493303,0.880774,-1.39392
0.49433,0.880287,-1.39392
0.495329,0.879812,-1.39392
0.496335,0.879334,-1.39392
0.497329,0.87886,-1.38885
0.498523,0.87829,-1.38885
0.499335,0.877901,-1.38885
0.500367,0.877406,-1.38885
0.501382,0.876919,-1.38885
0.502385,0.876437,-1.38885
0.503436,0.87593,-1.38885
0.50441,0.87546,-1.38885
